Frequency (Hz)	Level (dB)
260.498047	-42.548725
260.742188	-41.900822
260.986328	-43.062550
261.230469	-43.245159
261.474609	-43.744221
261.718750	-45.586792
261.962891	-42.609409
262.207031	-41.008358
262.451172	-41.793831
262.695313	-41.493202
262.939453	-40.580662
263.183594	-40.903698
263.427734	-40.493950
263.671875	-44.952904
263.916016	-45.950024
264.160156	-46.345886
264.404297	-46.494766
264.648438	-44.401119
264.892578	-42.506664
265.136719	-40.889034
265.380859	-41.709187
265.625000	-43.573032
265.869141	-45.908535
266.113281	-45.000801
266.357422	-46.627029
266.601563	-49.211552
266.845703	-46.181961
267.089844	-45.569271
267.333984	-42.311348
267.578125	-42.237202
267.822266	-45.988789
268.066406	-47.420971
268.310547	-50.701263
268.554688	-51.185333
268.798828	-50.798985
269.042969	-46.458973
269.287109	-45.055798
269.531250	-45.676964
269.775391	-43.325325
270.019531	-47.944767
270.263672	-48.922298
270.507813	-48.840775
270.751953	-51.289337
270.996094	-48.715115
271.240234	-46.407692
271.484375	-41.315792
271.728516	-44.769135
271.972656	-48.934555
272.216797	-49.225094
272.460938	-46.794456
272.705078	-46.937378
272.949219	-48.615246
273.193359	-42.317009
273.437500	-43.579178
273.681641	-44.102333
273.925781	-44.946217
274.169922	-48.916759
274.414063	-46.722183
274.658203	-47.071457
274.902344	-48.822582
275.146484	-49.600433
275.390625	-42.395565
275.634766	-40.251675
275.878906	-45.834499
276.123047	-49.867043
276.367188	-48.126526
276.611328	-48.125313
276.855469	-50.805481
277.099609	-48.835869
277.343750	-45.974899
277.587891	-48.417892
277.832031	-47.344479
278.076172	-48.730198
278.320313	-47.709244
278.564453	-48.703194
278.808594	-50.518024
279.052734	-47.434433
279.296875	-48.962326
279.541016	-46.269833
279.785156	-47.557152
280.029297	-50.321106
280.273438	-50.387211
280.517578	-48.703205
280.761719	-48.839882
281.005859	-50.437790
281.250000	-46.686794
281.494141	-45.982449
281.738281	-48.600159
281.982422	-49.321190
282.226563	-50.288151
282.470703	-50.747925
282.714844	-51.481159
282.958984	-48.347424
283.203125	-47.930664
283.447266	-47.329258
283.691406	-44.205246
283.935547	-45.985790
284.179688	-46.508125
284.423828	-47.588436
284.667969	-49.150944
284.912109	-50.138016
285.156250	-47.386234
285.400391	-45.475475
285.644531	-46.755013
285.888672	-47.652336
286.132813	-47.593979
286.376953	-46.909828
286.621094	-47.128124
286.865234	-47.395996
287.109375	-45.662067
287.353516	-47.117290
287.597656	-44.048489
287.841797	-43.979103
288.085938	-47.822781
288.330078	-47.386887
288.574219	-47.782852
288.818359	-48.543812
