Frequency (Hz)	Level (dB)
208.740234	-41.972256
208.984375	-43.219181
209.228516	-43.047501
209.472656	-42.529579
209.716797	-42.520004
209.960938	-42.646645
210.205078	-42.663445
210.449219	-42.537872
210.693359	-43.050140
210.937500	-44.507668
211.181641	-45.235687
211.425781	-44.607285
211.669922	-43.791248
211.914063	-42.972546
212.158203	-42.099449
212.402344	-41.500301
212.646484	-41.222607
212.890625	-41.206871
213.134766	-41.278397
213.378906	-41.191463
213.623047	-41.258060
213.867188	-41.769447
214.111328	-42.774788
214.355469	-43.752991
214.599609	-44.097286
214.843750	-44.237900
215.087891	-44.873562
215.332031	-45.166046
215.576172	-44.396404
215.820313	-43.729069
216.064453	-43.572372
216.308594	-43.409409
216.552734	-43.256161
216.796875	-43.512791
217.041016	-43.707794
217.285156	-43.394939
217.529297	-42.748249
217.773438	-42.081867
218.017578	-41.745422
218.261719	-41.810463
218.505859	-42.117512
218.750000	-42.106915
218.994141	-40.709286
219.238281	-39.375755
219.482422	-39.937504
219.726563	-41.436954
219.970703	-41.743130
220.214844	-41.513248
220.458984	-40.782814
220.703125	-39.832413
220.947266	-39.138020
221.191406	-39.019257
221.435547	-39.773232
221.679688	-41.263016
221.923828	-42.657879
222.167969	-42.400024
222.412109	-41.858768
222.656250	-42.223007
222.900391	-43.030357
223.144531	-43.547901
223.388672	-43.438652
223.632813	-43.552208
223.876953	-43.655106
224.121094	-43.416927
224.365234	-43.416756
224.609375	-43.930923
224.853516	-44.843254
225.097656	-44.675945
225.341797	-43.373009
225.585938	-41.734154
225.830078	-40.979530
226.074219	-41.915230
226.318359	-43.886600
226.562500	-44.233459
226.806641	-41.839447
227.050781	-39.822380
227.294922	-39.453995
227.539063	-39.323002
227.783203	-39.479015
228.027344	-39.749146
228.271484	-39.721619
228.515625	-39.044548
228.759766	-38.928928
229.003906	-40.035782
229.248047	-41.234905
229.492188	-41.457775
229.736328	-39.951660
229.980469	-38.770920
230.224609	-39.694382
230.468750	-40.088280
230.712891	-41.040714
230.957031	-42.143852
231.201172	-41.677258
231.445313	-41.288815
231.689453	-40.396896
231.933594	-39.955772
232.177734	-40.402470
232.421875	-40.763103
232.666016	-40.168137
232.910156	-39.220013
233.154297	-38.735035
233.398438	-36.749828
233.642578	-34.408031
233.886719	-33.245094
234.130859	-33.409492
234.375000	-34.733894
234.619141	-37.036865
234.863281	-38.939610
235.107422	-39.793339
235.351563	-39.927277
235.595703	-39.446438
235.839844	-39.681915
236.083984	-41.041851
236.328125	-41.803535
236.572266	-42.456379
236.816406	-43.198269
237.060547	-43.786388
237.304688	-43.657280
237.548828	-42.911068
237.792969	-43.144257
238.037109	-44.140842
238.281250	-44.695000
238.525391	-44.720940
238.769531	-44.595695
239.013672	-44.679497
239.257813	-44.334690
239.501953	-45.431683
239.746094	-45.749981
239.990234	-45.350254
240.234375	-44.331135
240.478516	-43.201893
240.722656	-43.769901
240.966797	-45.276287
241.210938	-45.517403
241.455078	-44.547443
241.699219	-44.559685
241.943359	-45.518970
242.187500	-45.508553
242.431641	-45.627174
242.675781	-45.525520
242.919922	-45.726971
243.164063	-45.442757
243.408203	-44.977150
243.652344	-46.113880
243.896484	-46.579601
244.140625	-44.582188
244.384766	-42.928921
244.628906	-42.372025
244.873047	-43.178387
245.117188	-44.610008
245.361328	-45.694077
245.605469	-45.725101
245.849609	-46.284573
246.093750	-46.067024
246.337891	-45.316383
246.582031	-45.193314
246.826172	-44.624367
247.070313	-43.420078
247.314453	-41.890415
247.558594	-40.573624
247.802734	-39.823898
248.046875	-40.080303
248.291016	-41.397362
248.535156	-42.908920
248.779297	-44.074387
249.023438	-44.396591
249.267578	-44.389885
249.511719	-44.905319
249.755859	-45.667339
250.000000	-45.041000
250.244141	-43.421268
250.488281	-42.892570
250.732422	-43.764271
250.976563	-44.863754
251.220703	-45.021656
251.464844	-44.525444
251.708984	-43.669044
251.953125	-42.317677
252.197266	-41.625042
252.441406	-41.513805
252.685547	-41.234673
252.929688	-40.331379
253.173828	-38.973526
253.417969	-37.974609
253.662109	-37.984962
253.906250	-39.282364
254.150391	-41.338348
254.394531	-42.400272
254.638672	-42.261955
254.882813	-42.260281
255.126953	-42.156944
255.371094	-42.172703
255.615234	-42.289341
255.859375	-41.367229
256.103516	-40.539387
256.347656	-40.591881
256.591797	-41.114620
256.835938	-41.523975
257.080078	-41.450584
257.324219	-41.171059
257.568359	-40.861744
257.812500	-40.767788
258.056641	-40.971752
258.300781	-41.061874
258.544922	-40.885098
258.789063	-40.464603
259.033203	-40.104946
259.277344	-39.767227
259.521484	-39.875057
259.765625	-40.302952
260.009766	-40.368172
260.253906	-40.332752
260.498047	-39.966267
260.742188	-39.188015
260.986328	-38.746433
261.230469	-38.892437
261.474609	-39.232483
261.718750	-38.680161
261.962891	-37.293724
